surrogate_key,natural_key,category_name_en,product_weight_g,product_length_cm,product_height_cm,product_width_cm
481c30fe-a969-40d8-84f7-24b87bc98945,2b69866f22de8dad69c976771daba91c,agro_industry_and_commerce,30000.0,40.0,105.0,40.0
3eaa8276-451c-4864-8a74-6e54f5e00ac6,d5dbb4d9ecbbf2e312169e4c8f1b57f0,agro_industry_and_commerce,5350.0,30.0,30.0,20.0
8010d1b6-0a89-491c-b038-5546057038f2,49b6d7e8192cd04ef8f69b1bf00b7eb1,agro_industry_and_commerce,1700.0,80.0,22.0,11.0
b40e3bfc-a877-4712-9752-5187d9d0fb7a,b5aebb467d9a92162173cbd234e00d99,agro_industry_and_commerce,550.0,16.0,16.0,16.0
b6083c14-8f34-4711-a65b-a98d6fac6b55,51d1db0b0ed8fee9994a5bae549a6160,agro_industry_and_commerce,5047.0,58.0,44.0,28.0
23401574-4a15-4063-88fc-3f81ea159e60,f3c179e260e0eeffbe02340259404cb1,agro_industry_and_commerce,1200.0,25.0,10.0,16.0
ec59b71b-7c6e-4d35-bfbf-d6225dcdc096,1df0508de978ce519aa5533ae04154c7,agro_industry_and_commerce,1900.0,40.0,15.0,20.0
4c03311d-d45e-4e0c-8189-84d9f224a312,1ff03883acc92ad1f4eb8ed40ad25bf9,agro_industry_and_commerce,900.0,20.0,5.0,11.0
e24f8ac9-9598-4ceb-985c-515ba1ce2016,3bebad3cf2c8d1a8d3ce97174643e054,agro_industry_and_commerce,500.0,17.0,11.0,11.0
cf36f8f6-a621-4d42-ba10-9ef198cef4d5,674005996f7500049a539559eeec5b76,agro_industry_and_commerce,650.0,46.0,4.0,15.0
d61e50f2-6fa1-4987-8de7-488a38108c57,423a6644f0aa529e8828ff1f91003690,agro_industry_and_commerce,5800.0,30.0,30.0,20.0
e9de6d72-c2ce-4711-b10d-c0974b817edf,c75a6578b6475cf760d40cb340b3971c,agro_industry_and_commerce,9950.0,65.0,26.0,26.0
85ee9027-272d-46f5-936e-8dcbd4995742,cd5df6a3db7a3d064a55afd08289d762,agro_industry_and_commerce,2150.0,30.0,25.0,15.0
14b19b4c-0b2b-4591-b54d-960ad5da8501,5fb0955cb683eb6f65a1f613e502eef5,agro_industry_and_commerce,4000.0,50.0,30.0,40.0
6129caeb-f391-4465-9908-6186c52cfebf,be55ae76be8824525f40695d49a5a7b5,agro_industry_and_commerce,2350.0,18.0,36.0,18.0
465583e2-fef4-4b27-80f9-53d6dcf999f6,eb1e85561435be5d1760939dac8c881c,agro_industry_and_commerce,400.0,30.0,20.0,11.0
bc377557-02c1-4dc7-b83e-46eb79309460,f72144308168311d3ca5926e40e784e5,agro_industry_and_commerce,10200.0,48.0,73.0,27.0
2ec9bc98-0e0b-47c4-99cb-56ebfb46fe0e,137ace556a03792cdc43f91ec621426d,agro_industry_and_commerce,550.0,16.0,19.0,11.0
9a55379b-9c78-4c97-9fe4-03ceaa53a0d1,eddb814fb553b6951f51b34c5f578ba0,agro_industry_and_commerce,16700.0,50.0,50.0,40.0
238e2bf7-4f87-4a10-ae17-dcb5e36b0590,16d096faa27582985f849f08370cf1ed,agro_industry_and_commerce,4050.0,11.0,18.0,10.0
f537fed7-814b-4553-b641-9840e4bfb9ce,10e33205ed375c8e4dc957633ae2ed83,agro_industry_and_commerce,6650.0,46.0,76.0,46.0
dccc26a5-0a74-4e55-b4c7-93dfac6e8e6e,026f43af35e7951067097527d5c31bcc,agro_industry_and_commerce,10317.0,52.0,33.0,43.0
75e559f3-d162-4d5d-b111-830eb2566e75,ffd63ee42a5c8cc5a15a1c8e2aa50011,agro_industry_and_commerce,5200.0,99.0,10.0,50.0
0add9ddb-3a7f-4204-860c-6e7282e7bc8b,11250b0d4b709fee92441c5f34122aed,agro_industry_and_commerce,3000.0,30.0,30.0,20.0
832ccf5f-44fb-4996-81b7-f02345d0a55c,a79e27ad902bfc67386ea63ed1ef7a08,agro_industry_and_commerce,100.0,16.0,5.0,11.0
bd443740-f42f-495d-8e8c-f9306d75778e,4796ab0f0b86b1d3aeea60f77a0ad991,agro_industry_and_commerce,300.0,20.0,20.0,20.0
fecb192a-69b9-40aa-aa45-296e85d284ef,c89226b8a795ae3d6bca9d90b20dbf04,agro_industry_and_commerce,400.0,17.0,8.0,12.0
30bdb0be-8f7b-4432-9113-5ee46fb71295,ac4bd2aec3f990363aa853e4f17709d3,agro_industry_and_commerce,150.0,18.0,8.0,13.0
bdb6d486-f379-4b3f-b46a-e81874ebf381,f320d436d02e0ada8609c458037f61ea,agro_industry_and_commerce,5000.0,35.0,20.0,17.0
c3a811df-cf3b-476f-8f06-32c8de7ec81c,a2f25a7e9c4eea1e3c2949d03c688048,agro_industry_and_commerce,10650.0,26.0,80.0,26.0
6de9b8cb-0787-4c27-b0af-6259b245ddee,c1b1fa3428453960653af124b17ab165,agro_industry_and_commerce,1000.0,28.0,9.0,26.0
22110aa3-aaaf-4a0e-aaa2-ec0a457ff9f7,3a2b04bd67f105099d662e522bec56e9,agro_industry_and_commerce,3275.0,35.0,37.0,19.0
65f36b5c-e116-4a0d-8a47-cf5292ba68ad,a0fe1efb855f3e786f0650268cd77f44,agro_industry_and_commerce,125.0,20.0,4.0,13.0
61e1ec38-8269-4ea8-91e9-944ab93cfff1,8a67e4e6cc6f2abf65fe2164ea51b219,agro_industry_and_commerce,250.0,25.0,10.0,15.0
08cd1234-eafd-426f-a0d2-3c08d163e7ae,137f49a66ce117db74acbaf30c047701,agro_industry_and_commerce,7050.0,99.0,5.0,80.0
4821c382-2a06-4df5-8825-58c3669421c5,adbcdfcfd5b8479f90579e4dd02df2aa,agro_industry_and_commerce,2700.0,20.0,13.0,25.0
c16e509e-eb04-4fd7-8bb7-cbbd93accd39,a95e101cee281e7cd36dfef5f80fabfe,agro_industry_and_commerce,9700.0,47.0,70.0,27.0
5d6b80a3-56aa-48ef-8054-402047eec45a,0a27862bbf658a5b8cf655761bc5c72d,agro_industry_and_commerce,2000.0,65.0,22.0,38.0
935ddf76-6c66-4a82-9a2c-e682b5e00563,99deb331428f8424b5400076161c3193,food,450.0,18.0,17.0,12.0
82954884-2759-4f7c-809c-e5227db20a33,980ecbcc15fe174ec1e5757c4d75b1bf,agro_industry_and_commerce,250.0,17.0,3.0,10.0
2df5cc95-8991-49ac-ad61-b6e560df01cc,e1834e5158e392bab21d691ac7b4eccd,agro_industry_and_commerce,12050.0,56.0,32.0,32.0
96f9ea13-94fb-4a17-93a3-b9b9b46f8ca4,0a0adf0de1769b2970f3096d0b5abfb7,agro_industry_and_commerce,13325.0,41.0,42.0,47.0
4712753a-44c2-4b1b-83df-7fdcd5c5e2d6,018ca97302e4293050cc41413194bb19,agro_industry_and_commerce,2467.0,28.0,26.0,24.0
4e64b0a5-db10-4c27-a9ec-47fe64fdfbd4,155222243017ed8a8a43eabf5b04144c,agro_industry_and_commerce,1950.0,19.0,44.0,11.0
220aa57d-d380-4440-b9b2-acb4620e6c80,e38487b365f562f0f5f6d8362cd36593,agro_industry_and_commerce,9050.0,48.0,58.0,27.0
dd8113d2-0f77-4298-9daf-f14efade0f69,672e757f331900b9deea127a2a7b79fd,agro_industry_and_commerce,2650.0,30.0,30.0,20.0
2c0f3fb9-c2cf-47ad-8ab8-681c239aa3ca,fbec390384fbb8d53d97c29a5bbb26ae,agro_industry_and_commerce,1640.0,37.0,34.0,31.0
cfce21b0-ce76-4c7c-a501-ed301dbe7156,ea1d59339533cb7f68f0319501d8e4d4,agro_industry_and_commerce,9900.0,29.0,49.0,36.0
9686bd0f-3b87-4658-8fd8-20a4c63630bd,ec53d5cd09b1dd78aa48a7d076fc51b1,food,75.0,18.0,13.0,16.0
cd66c3e5-5eb3-412e-bb35-585adc96de3f,ed2067a9c1f79553088a3c67b99a9f97,food,750.0,16.0,12.0,15.0
39fa9ef9-f295-422a-a33b-9fe4f4d289ac,199a6bb74fd406310616fda54aa93a80,food,800.0,20.0,20.0,20.0
dd3596c4-44d0-4ac2-be7c-5c210098445c,24f5af2b789d02450459312d48fc840f,food,575.0,17.0,7.0,14.0
58a5cb0c-523f-42e6-8fa7-89fce23d786c,3e935c981d34489d33ea5c721ab2e14c,food,550.0,32.0,30.0,27.0
f8ef221f-101f-417b-9905-825f18bd4c5e,9f81413382c6e7b2b2eaff6930f1fd98,food,450.0,16.0,18.0,11.0
58bf0760-1347-423d-af75-429867f12cb8,58816ce2ec224ea03aff8abe045f8407,food,1050.0,23.0,15.0,21.0
12f2e243-9c1f-412c-8bf5-bbcac8c5e6c0,32284a34d19761adc56333216faff3da,food,1550.0,20.0,52.0,19.0
7ac2aab2-0d2e-422d-bab8-856a8b3f41fa,0c4a0f8ab44f9acd2d04e7024f9ba362,food,388.0,16.0,16.0,14.0
8efd5b09-5611-4915-b7bb-f9648ce31370,0bf1dea484fbb8cdfa09e2767ce30574,food,1920.0,37.0,6.0,32.0
a5eeb4d0-4b54-49a2-bcb9-ce1ab2869c42,5b1b6135649a0839631d1dde8e4e5df3,food,94.0,16.0,5.0,11.0
818c26d1-8237-46b9-8093-7db78bb4d7c8,cd59f488cef311feb633141ad1e8563d,food,450.0,16.0,14.0,14.0
53044d4c-9bfa-4d77-9e69-41c54ce55966,8f7a3322e1abfed89ac080b0f7364779,food,1403.0,29.0,36.0,33.0
4b06f426-af40-47e5-ad20-311cc0ddacfc,3d7e90a312a036ed4ae2ecd2a459a629,food,200.0,16.0,16.0,14.0
e2c82e7f-7dc1-4aeb-acd9-5b6cb8504773,e84d1a4a08db13e8dea6d400a1c6a3f0,food,700.0,24.0,15.0,24.0
5805067f-7658-48fb-984d-0ffc28b640b8,1e4afc1a37e11d1cfac59e0599d3ce1f,food,1250.0,17.0,10.0,28.0
19ada6d0-1ecb-470b-bdb0-2bc0ead9832d,73326828aa5efe1ba096223de496f596,food,330.0,20.0,15.0,16.0
c8306983-0a5e-403a-bfa6-9b0f0cd46256,6fd4eb7b84b9e893fb3fca9b1cce07a3,food,184.0,16.0,15.0,16.0
06e1660a-229c-49ee-9027-8d57f4427d3f,0e8dd4723ed0d8206b7edbe908f35081,food,250.0,16.0,16.0,16.0
c30c086b-5bd6-4db2-8787-635f2d9f5e8f,30c7af0662527b13c438094b5adeae88,food,2717.0,25.0,16.0,17.0
8c9b5c32-063c-4d1a-9e6a-a23d524a047e,21b4d9c7183dd6f20f584f35c09bd361,food,808.0,18.0,11.0,13.0
3450d8c0-0a49-4ec7-8b23-e541ab0ff0a1,36ed077d2f4915bc4bd14ead16a028de,food,750.0,16.0,20.0,16.0
552d3503-e869-49d6-8407-e52d71f265ec,597730d1cc674def6ae75c213c7da08b,food,140.0,23.0,14.0,18.0
d8c082fa-879e-46dd-9d69-47d3ca5445ba,618c65cb5359281b2c830b9f3f2e1f36,food,8238.0,44.0,28.0,36.0
076abd8c-f5b3-44ca-a59c-f83a75447905,394ccaadf8429703362e1796dccbf4d9,food,1400.0,16.0,20.0,15.0
af1dfcf0-f91b-40e7-a870-c22c29fdac39,092be1e8336fc404c57bd5970d056886,food,750.0,16.0,12.0,15.0
55e4e7b2-8c5b-4c0c-a6dd-23d53aa3ee94,dc6d974a3b29ff63697e0926f8c76c51,food,700.0,16.0,13.0,12.0
6b7eda67-cc62-49c5-aa3c-447a2fc38e6d,7ea49f9a853882a4a3b2f6a4bf47c11f,food,450.0,24.0,17.0,17.0
3bcd2435-a71b-41a3-addf-9dbf9b44f2e6,5739177f0e1a8c060da43932f5a447a8,food,525.0,27.0,13.0,35.0
1a5e0615-26d8-4111-8354-96792ff1a7fd,06601c3059e35a3bf65e72f2fd2ac626,food,750.0,28.0,11.0,13.0
459c4920-972b-4be4-ab18-34a88faa9aed,432357855585cf634fc9923523ce5e4a,food,1150.0,16.0,14.0,16.0
476669b5-533b-4f63-a041-e57d23331d7d,fd0c762860528d119344e1377b574fc5,food,317.0,16.0,10.0,11.0
b1f8dd06-6bfd-47c7-9a2c-5e92daa25a95,33202a8e7a645388c41ed714203d7131,food,3350.0,20.0,21.0,20.0
a89d5007-f783-4d9e-9359-5e0b07dd78b0,374137d89cb46d9debd574e31e6816b8,food,1333.0,34.0,8.0,30.0
395bf73f-7384-4c40-b5b6-6504ef58e1ce,875db2194361bf1a20064ccd2c697532,food,930.0,28.0,12.0,12.0
aa98fd7c-b4d4-4039-91fd-2a8dcdd5a5e5,86e929e4090ee647cecc0426ad4b928e,food,2000.0,23.0,17.0,17.0
31aaa2e7-b004-4e22-b858-601c4cb182a4,81f3b58e2adf194df837b71d288dd315,food,1150.0,20.0,10.0,20.0
b26d0569-975e-4927-b95b-d5a516af4f66,8701ef265f73fd18064df16faa4104ae,food,250.0,20.0,6.0,11.0
d7ef7339-7ddc-41b8-98f5-8652910e8261,cba233cdf732bfe917cc13a00836a969,food,100.0,16.0,6.0,11.0
f677d676-4fec-44df-844a-bcddd00bf4d5,f0c1c1d5ec61ce4c4846abd4283631df,food,125.0,16.0,8.0,11.0
aabeac39-355c-44f7-b808-0b1dd60e6061,4e2e67ecbe3c5465a6c3c76db8acba86,food,300.0,16.0,12.0,15.0
9264355b-48ee-4d45-a3eb-f96b0930b35d,d493f5a208254fe85b3ab55d898461a1,food,675.0,28.0,15.0,15.0
8851e1a4-c48d-45b6-aa15-f9d79f765fdd,d6a246503bb84b2e0914e8a1dfb58a04,food,400.0,18.0,15.0,13.0
7cce43aa-e054-4cb1-84dd-edde5311ec22,9ba8f142d5750b47282d95c0dad1ef57,food,500.0,16.0,16.0,16.0
3c80c7c7-6674-45e2-a95a-83d4552cf179,8e4b7c036587bfb512f6766ea6281b03,food,1183.0,33.0,7.0,29.0
15e4d9f2-685e-43fb-8054-d07616a346d3,378bb6601c068c842ca65be6c5e45ccd,food,1700.0,16.0,18.0,15.0
c1df9873-679a-4985-96fb-e9d369c1b503,40eb3da673124832fdf8b3ee24215b95,food,200.0,16.0,7.0,11.0
4dfbd51a-7261-420b-a5e6-f6913b941c77,aa0c047aa75f7c8e437acd62601055fe,food,533.0,27.0,14.0,17.0
19b8a0c0-bc75-4869-ab62-f088d0a65777,53d71d8d9d6878f6f0b9fe0ed79445d5,food,375.0,20.0,12.0,15.0
4fd42930-8b58-4ea3-9e31-6a20d5dfe234,1965752f8e30a01b19fea24c2577ad0d,food,1376.0,23.0,15.0,21.0
42aa0019-432c-4513-8896-0c7c1db6a06e,ab1106e227a745836a0dc83b374e2575,food,325.0,16.0,9.0,13.0
97df2177-259f-43e1-8f41-00abdce91662,722a703d9aadc6e807aed5512eb447c7,food,500.0,23.0,23.0,17.0
9f240dd5-cd76-4449-91a9-5958d406c690,8f9371c0e8042d93813647b53c195ddb,food,1068.0,26.0,16.0,27.0
799cc419-f9c6-48d4-89e5-99c9047cba10,a52eee5077b52ed1702997bbb36ca4de,food,200.0,16.0,11.0,11.0
9cc56df5-56eb-4981-b20d-8e8920ddb05a,5bf0a3751ac1a1c1253ef97a027b8c13,food,600.0,16.0,8.0,15.0
16b6133b-32c2-4296-810a-f50c554d6325,492c2e63fd021a5da2c15d1740d5b348,food,147.0,16.0,7.0,12.0
1f32d4e0-9445-4301-a94f-f19d84b6152e,91f55803717622c017fb93898242a592,food,5150.0,26.0,28.0,24.0
c8416cf3-2523-4a82-b70b-27896f6d5561,3a4dfe5f744b6f8727a27241cf1d97bc,food,400.0,19.0,19.0,14.0
13615c75-7fe7-4d47-bfc0-ad3ef840b3ac,45a6892a98568b366b52ffeec9a03691,food,229.0,18.0,10.0,16.0
47ad5cc7-c20d-4786-b019-f339f50adcd5,0152cb427657428c06633fce6d721da4,food,150.0,22.0,4.0,17.0
1383463f-de3c-4224-ac28-6c073f090893,1900bad8eae4042922f8487abb59e3c5,food,600.0,28.0,15.0,15.0
d979ed08-6954-4950-8913-53dd8948311f,55f3ffb0a4d7d7ba70756209da63c8d2,food,350.0,19.0,19.0,12.0
7b3bb95e-f8db-43a5-821b-a5267d7f693d,3197fca73726f51df11ef871f9c30213,food,238.0,17.0,12.0,15.0
cb660ed6-dcc8-4d29-9918-3c09bc0c5eea,eb4ce1251cfec891df49b09dda5095b0,food,600.0,22.0,10.0,16.0
0565eb52-932e-4290-acf5-7294fb42bf2f,861857117917aaa99611defcc0d514cd,food,4450.0,28.0,14.0,28.0
e40ebe48-afc1-401a-95b5-e4f006ef6b61,896496916bfd78848143a60e492dbcf8,food,225.0,21.0,9.0,14.0
f4498637-35a3-43d9-aca9-457594282dfb,0e11633dd5ea3089303dd9a9f226d5a8,food,1500.0,30.0,30.0,30.0
d624e631-65d0-4f15-bad7-c4543d7c582d,92857a2b590adeae8d5992511dc197e9,food,1358.0,27.0,21.0,20.0
ce43ab1b-efa9-4382-9a27-fd8c2c9b1da7,43222c9a989813b389d36fe5a1655c05,food,1213.0,36.0,12.0,31.0
72734d00-b9ca-4e43-b12a-1af6594120aa,774e2ab4466ae169c99921fb8c12a390,food,650.0,18.0,10.0,12.0
0ae33864-efb1-42a5-acbf-286188f43857,789ad1b65fbd127472ba15371dd1144a,food,3150.0,30.0,28.0,28.0
805b62b8-d7b7-4c82-8219-0e88beacfd73,7a18f72d8f0acfbd60eea36f2644ce8e,food,200.0,17.0,9.0,16.0
b3df0dda-1947-44b6-bcdc-8b75a9c9f41a,3d0552899dbe2f89cff6197aab33fe99,food,1084.0,26.0,18.0,27.0
f964e648-e04a-4b62-9b74-eda560914766,89321f94e35fc6d7903d36f74e351d40,food,150.0,17.0,13.0,13.0
720629eb-c6e7-4f84-9631-465d76d4560b,dcd3c062b4a5a8f5e411c9cf4772285a,food,350.0,24.0,17.0,17.0
4f8d2ce4-a971-4f4d-b40e-f14226cc0c32,4715eb4e21b1833327567e8c62ce5790,food,150.0,16.0,9.0,11.0
07376a6e-7b62-4cf8-aa8e-046ada8e36ef,1e114096c8024159923dcf2c857e4ca4,food,150.0,22.0,4.0,17.0
13944aa2-b71e-4f36-b2fb-d79361f600c1,a961143b53bf771400f1bc6bdf396e8d,food,300.0,21.0,11.0,13.0
3bd20ec0-5006-4336-b6ef-fadbc3f535e7,80e7f6c61346d1feb1bca71585ac62e4,food,500.0,17.0,12.0,17.0
414a878a-78ee-4846-aa30-0ad7dac823f1,fd0dc040197a6ac42d115243a8cee1dc,food,139.0,18.0,10.0,13.0
ade23262-b798-47ab-b648-8ab90538bc06,d1dae3e210576b5698e7847df9c3e1a3,food,1000.0,16.0,20.0,16.0
25df4bac-20ba-468e-bf5a-99fbd4f60f5c,a2307a34b16eb2201ce5206cbd7f9bc7,food_drink,700.0,25.0,25.0,25.0
414f5513-84f6-4b2b-9701-311dea94f4f4,880e2c1d5c4b60504e6b0a0c8bf89a1f,food_drink,1950.0,35.0,12.0,23.0
cd24935f-9ec2-4883-a260-41171e3964c1,869ea93586ecd74a64e5aafcad1036a9,food_drink,600.0,28.0,15.0,20.0
378e5f87-cecd-434d-bd7d-d1ee10bd17f4,ba4d4408f422ce8b42de69cbf879f5f9,food_drink,300.0,21.0,10.0,15.0
b0fd472a-fe80-46f1-aba6-6d83ccf9fa00,79d7da51bcd8d7722a6db7b3c285e218,food_drink,500.0,20.0,20.0,20.0
b537fdfa-d3a8-4e19-ac35-8d9f667afc0e,07bb371fdfa423305dd7e7d94cf36565,food_drink,250.0,16.0,2.0,12.0
97455cc4-0afe-47e8-a627-bb666828e93f,639a641dfdddb9367d030768148076b1,food_drink,300.0,16.0,6.0,11.0
1547757b-e73b-4396-9710-a179fe3c7c0c,779e74ce337266c06bf392935ab34bc8,food_drink,262.0,28.0,15.0,20.0
e8f1c5f5-75e9-45b3-ab52-eea67340abae,b71ed32edb9ce4684e10a11309011b60,food_drink,500.0,25.0,9.0,18.0
95d4e8f1-4c2d-4006-ac2b-0629f30f91ba,740867136b4bf7605e36c5913b91eb99,food_drink,2800.0,27.0,19.0,24.0
a25c97f4-d555-4a7c-ba76-3c4efed2ba23,3ae810052cf18d30232367f0b45e284c,food_drink,1200.0,23.0,12.0,19.0
0be11fb1-dabc-4a8e-9dc0-02663be66d46,de809d6e8b2d61c8d82566466916d5ba,food_drink,1200.0,30.0,21.0,21.0
fad59e40-4d4c-48db-a8e8-cf4a34a8af6b,20545c8a1fb497b7e692794159e7afdb,food_drink,400.0,16.0,8.0,14.0
2daecbfc-12ec-49c4-a02e-924e44064393,eeab31cd2a4bcd64e6b249e0a674b3a8,food_drink,274.0,28.0,15.0,20.0
d7cbdbe0-dad8-451d-af91-4712360a8391,a9b66ba43bc175399c95d207083fc120,food_drink,6775.0,30.0,30.0,26.0
db28f5f4-60db-482f-afa1-9969c8d20b65,32f186a3f6239888c37adf90db857098,food_drink,1350.0,18.0,17.0,16.0
2351d990-4bde-47e0-b968-473e6f26712d,ca4fe13c336a5399a892b4afabb17abb,food_drink,1650.0,24.0,24.0,24.0
db010411-82b2-4167-8ad0-15c59122eaa1,37eab73447adec63c01f2cebf76afd9e,food_drink,300.0,30.0,15.0,15.0
874ead44-21ed-481e-8fc5-a199e2f2fc6f,75e62433aab3f2aeae71e3bbc0af2171,food_drink,900.0,20.0,8.0,16.0
1cd8132e-551e-4536-be40-c51f65300d99,5ef5cddf0ad1c5140b02c2255109c31a,food_drink,1150.0,24.0,8.0,23.0
f27b7136-0ead-4175-a81c-e0d11b8ecb9f,af1f7fe819b99861448beb8a907c9cbe,food_drink,600.0,25.0,16.0,16.0
ab551b48-6685-4fb5-b16f-8dc7de0c63db,c432f90fa332fd2e5091f2ac2d226aad,food_drink,10500.0,35.0,30.0,27.0
5add03f4-1076-45cb-8eed-93f8e077eca3,7ff7661b8c3f488705fcf1f407d04329,food_drink,500.0,28.0,15.0,15.0
23754051-41a5-4e48-bb74-90b9136269c1,a54244559e62c8ef2939e52189d65d4c,food_drink,1300.0,19.0,12.0,12.0
97ba3ce3-8f83-4b50-8638-8e20eff483ec,b35c3c655d950af9dcd75516879eba67,food_drink,2750.0,21.0,22.0,12.0
66d7f9cc-4fcc-4fa3-a670-5b97210a98d8,26f03967104b76d4ebd5e43a1b3c1e18,food_drink,600.0,33.0,21.0,27.0
42c21598-a210-4bb7-8316-c9edbc5761a1,be8c497ccf955e3f8817bbd38626ac29,food_drink,300.0,24.0,8.0,23.0
41e958b7-9a73-47da-a30c-81a678f09bd9,2942938c3d7cfb0161ad93b80cd60b01,food_drink,1750.0,32.0,16.0,18.0
d5d30165-0098-4e2a-8b7b-37189922873a,e1b7112bffdaa21bd9b003dc3238f58f,food_drink,600.0,24.0,8.0,23.0
943e5905-5f16-4477-b15c-f44b3309048a,4c19782230ac2c3708497b730b02abe7,food_drink,50.0,16.0,3.0,11.0
dbc624b5-cbf5-4cb4-90a9-d59ae2640532,a17986e7f2991a5f5fcbfae5639ca1cf,food_drink,300.0,16.0,2.0,12.0
c56b3691-69d0-43c4-94f8-cb0835ba6cc6,eed8b513f23793f1d52a3baf41f38392,food_drink,350.0,21.0,10.0,15.0
dace0113-e79f-49b4-b004-d41a4b5f7a11,7edfb4c96d69a75d28b973bdc2dbcfaf,food_drink,250.0,20.0,11.0,15.0
971840aa-ee38-40dd-9b10-13737394492e,86beb8b7298c47a334e6deb8545b2f06,food_drink,350.0,16.0,2.0,12.0
dcf8d571-c9f9-41f6-9b0c-00584886ab41,c39e3869763358c110302e22df757450,food_drink,3400.0,30.0,15.0,26.0
b80eb928-b310-4241-b6d0-2e2befa2b9a3,3eb3d83d082ce242d4eae1f57e62640d,food_drink,300.0,25.0,9.0,18.0
